SEGMENTO_PAIS|TIPO_DOCUMENTO|NUMERO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|SUNAT_ESTADO_RUC|SUNAT_ESTADO_CONTRIBUYENTE|SUNAT_DEPARTAMENTO|SUNAT_PROVINCIA|SUNAT_DISTRITO|NUMERO_CELULAR
SEGMENTO_004|RUC|2007774830|CLIENT_00695|HABIDO|ACTIVO|HUANUCO|Huánuco|Huanuco|931714235
SEGMENTO_004|RUC|2090276302|CLIENT_00771|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Trujillo|930797152
SEGMENTO_004|RUC|2046916374|CLIENT_00711|HABIDO|ACTIVO|ICA|Pisco|Pisco|925870388
SEGMENTO_002|RUC|2050799857|CLIENT_00697|HABIDO|ACTIVO|LIMA|Lima|San Isidro|944764964
SEGMENTO_004|RUC|2088077505|CLIENT_00777|HABIDO|ACTIVO|LIMA|Huaura|Huacho|925886188
SEGMENTO_002|RUC|2039216584|CLIENT_00936|HABIDO|ACTIVO|LIMA|Lima|San Isidro|946486345
SEGMENTO_004|RUC|2078965242|CLIENT_00922|HABIDO|ACTIVO|AYACUCHO|Huamanga|Ayacucho|914460657
SEGMENTO_004|RUC|2007950781|CLIENT_00069|HABIDO|ACTIVO|LORETO|Maynas|Iquitos|910021854
SEGMENTO_004|RUC|2024496152|CLIENT_00315|HABIDO|ACTIVO|AREQUIPA|Arequipa|Cerro Colorado|925208424
SEGMENTO_004|RUC|2004240244|CLIENT_00422|HABIDO|ACTIVO|AREQUIPA|Arequipa|Yanahuara|931845677
SEGMENTO_002|RUC|2087028740|CLIENT_00487|HABIDO|ACTIVO|LIMA|Lima|Lima|942515253
SEGMENTO_004|RUC|2068789568|CLIENT_00153|HABIDO|ACTIVO|LIMA|Lima|San Martín de Porres|901300723
SEGMENTO_004|RUC|2089508889|CLIENT_00786|HABIDO|ACTIVO|LIMA|Lima|Miraflores|961365119
SEGMENTO_004|RUC|2082318567|CLIENT_00377|HABIDO|ACTIVO|LIMA|Lima|San Borja|931463884
SEGMENTO_004|RUC|2044512050|CLIENT_00980|HABIDO|ACTIVO|LIMA|Lima|San Borja|946526242
SEGMENTO_004|RUC|2061726816|CLIENT_00637|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|Saña|931144133
SEGMENTO_004|RUC|2051947639|CLIENT_00103|HABIDO|BAJA DE OFICIO|LIMA|Lima|San Isidro|947105722
SEGMENTO_004|RUC|2035557284|CLIENT_00828|HABIDO|ACTIVO|LIMA|Lima|Santa Anita|945944761
SEGMENTO_004|RUC|2040443627|CLIENT_00393|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|928285302
SEGMENTO_004|RUC|2076142431|CLIENT_00318|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|937342156
SEGMENTO_004|RUC|2042840517|CLIENT_00226|HABIDO|ACTIVO|AREQUIPA|Arequipa|Miraflores|910650999
SEGMENTO_004|RUC|2033874362|CLIENT_00792|HABIDO|ACTIVO|CUSCO|Cusco|Cusco|937000942
SEGMENTO_004|RUC|2033800985|CLIENT_00691|HABIDO|ACTIVO|LIMA|Lima|Lima|947388732
SEGMENTO_004|RUC|2004403801|CLIENT_00180|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|920365253
SEGMENTO_004|RUC|2018414664|CLIENT_00400|HABIDO|ACTIVO|LIMA|Lima|San Martín de Porres|931396916
SEGMENTO_004|RUC|2050504401|CLIENT_00673|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho|940328245
SEGMENTO_004|RUC|2021660305|CLIENT_00332|HABIDO|ACTIVO|LIMA|Lima|Magdalena del Mar|914411624
SEGMENTO_004|RUC|2032335674|CLIENT_00620|HABIDO|BAJA DE OFICIO|LIMA|Lima|Santiago de Surco|945507550
SEGMENTO_004|RUC|2052608690|CLIENT_00581|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores|914018272
SEGMENTO_004|RUC|2063121146|CLIENT_00778|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores|942924589
SEGMENTO_004|RUC|2090808430|CLIENT_00946|HABIDO|ACTIVO|LIMA|Lima|San Miguel|925100955
SEGMENTO_004|RUC|2046272291|CLIENT_00829|HABIDO|ACTIVO|LIMA|Lima|Miraflores|917585383
SEGMENTO_004|RUC|2078802807|CLIENT_00099|HABIDO|ACTIVO|LIMA|Lima|San Martín de Porres|942223226
SEGMENTO_004|RUC|2027755534|CLIENT_00163|HABIDO|ACTIVO|LIMA|Lima|San Borja|946224743
SEGMENTO_004|RUC|2081744801|CLIENT_00542|HABIDO|ACTIVO|LIMA|Lima|Miraflores|961400780
SEGMENTO_004|RUC|2012439383|CLIENT_00601|NO HABIDO|BAJA DE OFICIO|CALLAO|Prov. Const. del Callao|Callao|945174111
SEGMENTO_004|RUC|2016587155|CLIENT_00255|HABIDO|ACTIVO|CUSCO|Cusco|San Jerónimo|916870296
SEGMENTO_004|RUC|2034879712|CLIENT_00302|HABIDO|ACTIVO|APURIMAC|Abancay|Abancay|902864414
SEGMENTO_004|RUC|2082221937|CLIENT_00364|HABIDO|ACTIVO|AREQUIPA|Arequipa|Arequipa|925347037
SEGMENTO_002|RUC|2099609997|CLIENT_00740|HABIDO|ACTIVO|LIMA|Lima|San Borja|915594285
SEGMENTO_004|RUC|2061273939|CLIENT_00449|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|Chiclayo|902432520
SEGMENTO_004|RUC|2069541043|CLIENT_00362|HABIDO|ACTIVO|LIMA|Lima|Miraflores|910014257
SEGMENTO_004|RUC|2081733189|CLIENT_00101|HABIDO|ACTIVO|LIMA|Lima|La Victoria|946941731
SEGMENTO_004|RUC|2018849431|CLIENT_00586|HABIDO|ACTIVO|LIMA|Lima|La Victoria|901468877
SEGMENTO_004|RUC|2024619182|CLIENT_00963|HABIDO|ACTIVO|LIMA|Lima|Villa María del Triunfo|961975003
SEGMENTO_004|RUC|2004984092|CLIENT_00883|HABIDO|ACTIVO|LIMA|Lima|Barranco|925266094
SEGMENTO_004|RUC|2029816520|CLIENT_00874|HABIDO|ACTIVO|LIMA|Lima|Independencia|945860188
SEGMENTO_004|RUC|2045418905|CLIENT_00576|HABIDO|ACTIVO|LIMA|Lima|San Borja|961247101
SEGMENTO_004|RUC|2040860442|CLIENT_00783|HABIDO|ACTIVO|LIMA|Lima|Pueblo Libre|915162407
SEGMENTO_004|RUC|2047611797|CLIENT_00924|HABIDO|ACTIVO|LIMA|Lima|La Victoria|944820141
SEGMENTO_004|RUC|2091452099|CLIENT_00990|HABIDO|ACTIVO|LIMA|Lima|Lima|914367824
SEGMENTO_004|RUC|2098293784|CLIENT_00265|HABIDO|ACTIVO|SAN MARTIN|Tocache|Tocache|947149024
SEGMENTO_004|RUC|2047431289|CLIENT_00045|HABIDO|ACTIVO|CUSCO|Cusco|Santiago|914683614
SEGMENTO_004|RUC|2030739572|CLIENT_00552|HABIDO|ACTIVO|LIMA|Cañete|Mala|902675514
SEGMENTO_004|RUC|2046868113|CLIENT_00397|NO HABIDO|BAJA DE OFICIO|AMAZONAS|Bongará|Jazan|945411491
SEGMENTO_004|RUC|2043153301|CLIENT_00849|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores|915941455
SEGMENTO_004|RUC|2032243442|CLIENT_00656|HABIDO|ACTIVO|LIMA|Lima|La Victoria|945203917
SEGMENTO_004|RUC|2048306935|CLIENT_00452|HABIDO|ACTIVO|PUNO|San Román|Juliaca|929184695
SEGMENTO_004|RUC|2009768742|CLIENT_00967|HABIDO|ACTIVO|SAN MARTIN|Moyobamba|Moyobamba|947658512
SEGMENTO_004|RUC|2042005584|CLIENT_00724|HABIDO|ACTIVO|AREQUIPA|Arequipa|Jacobo Hunter|928441100
SEGMENTO_004|RUC|2064266045|CLIENT_00606|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|Chiclayo|910608547
SEGMENTO_004|RUC|2048828836|CLIENT_00869|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Trujillo|937692533
SEGMENTO_004|RUC|2097314646|CLIENT_00429|HABIDO|ACTIVO|ICA|Ica|Ica|942580284
SEGMENTO_004|RUC|2041230831|CLIENT_00071|HABIDO|BAJA DE OFICIO|LIMA|Lima|Jesús María|914334920
SEGMENTO_004|RUC|2014579954|CLIENT_00512|HABIDO|ACTIVO|LIMA|Lima|La Victoria|942115778
SEGMENTO_004|RUC|2070148979|CLIENT_00202|HABIDO|ACTIVO|LIMA|Lima|La Molina|946862698
SEGMENTO_004|RUC|2053125283|CLIENT_00112|HABIDO|ACTIVO|CUSCO|Cusco|Cusco|944793833
SEGMENTO_004|RUC|2064993907|CLIENT_00925|HABIDO|ACTIVO|ICA|Ica|Ica|931798628
SEGMENTO_004|RUC|2023119208|CLIENT_00003|HABIDO|ACTIVO|LIMA|Lima|Ate|929218073
SEGMENTO_004|RUC|2039714658|CLIENT_00290|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|930196779
SEGMENTO_004|RUC|2017592496|CLIENT_00970|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho|931543136
SEGMENTO_004|RUC|2056936489|CLIENT_00469|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho|929328078
SEGMENTO_004|RUC|2001919358|CLIENT_00658|HABIDO|ACTIVO|LIMA|Lima|Lince|901071566
SEGMENTO_004|RUC|2097061252|CLIENT_00368|HABIDO|ACTIVO|LIMA|Lima|Barranco|910035790
SEGMENTO_004|RUC|2005539193|CLIENT_00228|HABIDO|ACTIVO|LIMA|Lima|San Martín de Porres|925451641
SEGMENTO_004|RUC|2061611588|CLIENT_00499|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Trujillo|928810009
SEGMENTO_004|RUC|2091736052|CLIENT_00652|HABIDO|ACTIVO|LIMA|Lima|Miraflores|928734987
SEGMENTO_004|RUC|2040276207|CLIENT_00386|NO HABIDO|ACTIVO|CALLAO|Prov. Const. del Callao|Callao|947257001
SEGMENTO_004|RUC|2035220905|CLIENT_00655|HABIDO|ACTIVO|LIMA|Lima|La Molina|941855648
SEGMENTO_004|RUC|2068926847|CLIENT_00666|HABIDO|ACTIVO|LIMA|Lima|Surquillo|941396080
SEGMENTO_004|RUC|2094577730|CLIENT_00415|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|920675738
SEGMENTO_004|RUC|2017938134|CLIENT_00866|HABIDO|ACTIVO|AREQUIPA|Camaná|Samuel Pastor|942338266
SEGMENTO_004|RUC|2043037576|CLIENT_00102|HABIDO|ACTIVO|LIMA|Lima|San Borja|942240469
SEGMENTO_004|RUC|2061195913|CLIENT_00760|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho|940586232
SEGMENTO_004|RUC|2022681851|CLIENT_00304|HABIDO|BAJA DE OFICIO|LIMA|Lima|Surquillo|928882278
SEGMENTO_004|RUC|2096030030|CLIENT_00475|HABIDO|ACTIVO|SAN MARTIN|San Martín|Tarapoto|944465565
SEGMENTO_004|RUC|2025967685|CLIENT_00216|HABIDO|ACTIVO|CAJAMARCA|Cajamarca|Cajamarca|901441568
SEGMENTO_004|RUC|2060826481|CLIENT_00672|HABIDO|ACTIVO|APURIMAC|Andahuaylas|Andahuaylas|901911822
SEGMENTO_002|RUC|2079585159|CLIENT_00559|HABIDO|ACTIVO|LIMA|Cañete|Asia|901007702
SEGMENTO_004|RUC|2042736285|CLIENT_00790|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Trujillo|920928107
SEGMENTO_004|RUC|2022190206|CLIENT_00446|NO HABIDO|BAJA DE OFICIO|LIMA|Lima|Surquillo|920614381
SEGMENTO_004|RUC|2057750040|CLIENT_00558|HABIDO|ACTIVO|LIMA|Lima|Miraflores|944332329
SEGMENTO_004|RUC|2083236096|CLIENT_00044|HABIDO|ACTIVO|LIMA|Lima|Chorrillos|928052201
SEGMENTO_004|RUC|2070262664|CLIENT_00155|HABIDO|ACTIVO|CUSCO|Cusco|Cusco|941597833
SEGMENTO_004|RUC|2091840603|CLIENT_00602|HABIDO|ACTIVO|HUANUCO|Huánuco|Huanuco|936420090
SEGMENTO_004|RUC|2011020714|CLIENT_00404|HABIDO|ACTIVO|LIMA|Lima|Los Olivos|961712832
SEGMENTO_004|RUC|2036119586|CLIENT_00605|HABIDO|ACTIVO|LIMA|Lima|San Isidro|941934953
SEGMENTO_004|RUC|2054553077|CLIENT_00093|HABIDO|ACTIVO|JUNIN|Junín|Junin|930860539
SEGMENTO_004|RUC|2047909598|CLIENT_00269|HABIDO|ACTIVO|LORETO|Alto Amazonas|Yurimaguas|947438135
SEGMENTO_004|RUC|2038848428|CLIENT_00847|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores|930835877
SEGMENTO_004|RUC|2054283108|CLIENT_00682|HABIDO|ACTIVO|LIMA|Lima|Ate|941666459
SEGMENTO_004|RUC|2064043539|CLIENT_00599|HABIDO|ACTIVO|LIMA|Lima|Miraflores|925643442
SEGMENTO_004|RUC|2050348529|CLIENT_00770|HABIDO|ACTIVO|LIMA|Lima|Lince|928857749
SEGMENTO_004|RUC|2070054625|CLIENT_00725|HABIDO|ACTIVO|MOQUEGUA|Ilo|Ilo|910856240
SEGMENTO_002|RUC|2087841208|CLIENT_00474|HABIDO|ACTIVO|PIURA|Piura|Piura|961076750
SEGMENTO_004|RUC|2034994857|CLIENT_00519|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho|902161295
SEGMENTO_004|RUC|2051341964|CLIENT_00219|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|916431860
SEGMENTO_004|RUC|2029838667|CLIENT_00775|HABIDO|ACTIVO|LIMA|Lima|Surquillo|914486578
SEGMENTO_004|RUC|2085300720|CLIENT_00565|HABIDO|ACTIVO|LIMA|Lima|San Isidro|928498888
SEGMENTO_004|RUC|2097998127|CLIENT_00891|HABIDO|ACTIVO|LIMA|Lima|Surquillo|917957330
SEGMENTO_004|RUC|2036252758|CLIENT_00485|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|936365251
SEGMENTO_004|RUC|2038298370|CLIENT_00249|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores|936995530
SEGMENTO_004|RUC|2066464531|CLIENT_00087|NO HABIDO|SUSPENSION TEMPORAL|LIMA|Lima|San Martín de Porres|928201083
SEGMENTO_004|RUC|2053585542|CLIENT_00846|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho|930434713
SEGMENTO_004|RUC|2003740540|CLIENT_00568|HABIDO|BAJA DE OFICIO|LIMA|Lima|Santiago de Surco|917829518
SEGMENTO_002|RUC|2027994752|CLIENT_00081|HABIDO|ACTIVO|LIMA|Lima|Miraflores|902589234
SEGMENTO_004|RUC|2067346691|CLIENT_00086|HABIDO|ACTIVO|LIMA|Lima|Barranco|916530629
SEGMENTO_004|RUC|2088859624|CLIENT_00594|HABIDO|ACTIVO|LIMA|Lima|La Victoria|945279184
SEGMENTO_004|RUC|2025650857|CLIENT_00466|HABIDO|ACTIVO|PIURA|Piura|Piura|902538774
SEGMENTO_004|RUC|2031395900|CLIENT_00781|HABIDO|ACTIVO|LIMA|Lima|La Victoria|944841209
SEGMENTO_004|RUC|2011067330|CLIENT_00113|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|José Leonardo Ortiz|942312739
SEGMENTO_004|RUC|2008330743|CLIENT_00241|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|El Porvenir|901239664
SEGMENTO_004|RUC|2080284452|CLIENT_00739|HABIDO|BAJA DE OFICIO|LIMA|Barranca|Barranca|961961031
SEGMENTO_004|RUC|2014968629|CLIENT_00674|HABIDO|ACTIVO|LIMA|Lima|Lima|901924741
SEGMENTO_004|RUC|2039317482|CLIENT_00517|HABIDO|ACTIVO|LIMA|Lima|Surquillo|947750861
SEGMENTO_004|RUC|2046930363|CLIENT_00514|HABIDO|BAJA DE OFICIO|PUNO|San Román|Juliaca|920201041
SEGMENTO_004|RUC|2075957069|CLIENT_00305|HABIDO|ACTIVO|AREQUIPA|Arequipa|Sachaca|936263734
SEGMENTO_004|RUC|2025402020|CLIENT_00130|HABIDO|ACTIVO|CALLAO|Prov. Const. del Callao|Ventanilla|916901121
SEGMENTO_004|RUC|2086906355|CLIENT_00933|HABIDO|ACTIVO|LIMA|Lima|Miraflores|941828815
SEGMENTO_002|RUC|2024654901|CLIENT_00714|HABIDO|ACTIVO|LIMA|Lima|Miraflores|942246765
SEGMENTO_004|RUC|2077669628|CLIENT_00032|HABIDO|ACTIVO|LIMA|Lima|Ate|914753516
SEGMENTO_004|RUC|2069501836|CLIENT_00263|HABIDO|BAJA DE OFICIO|LIMA|Lima|San Martín de Porres|942991225
SEGMENTO_004|RUC|2067472025|CLIENT_00049|HABIDO|ACTIVO|LIMA|Lima|Lima|945756422
SEGMENTO_004|RUC|2003660112|CLIENT_00090|HABIDO|ACTIVO|LIMA|Lima|Lince|941500909
SEGMENTO_004|RUC|2001304335|CLIENT_00428|HABIDO|ACTIVO|LIMA|Lima|San Miguel|929232904
SEGMENTO_004|RUC|2064277467|CLIENT_00871|HABIDO|ACTIVO|AREQUIPA|Arequipa|Arequipa|945337827
SEGMENTO_004|RUC|2024425530|CLIENT_00124|HABIDO|ACTIVO|LIMA|Lima|Villa El Salvador|917447029
SEGMENTO_002|RUC|2045641140|CLIENT_00319|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|940016467
SEGMENTO_004|RUC|2048226249|CLIENT_00600|HABIDO|ACTIVO|LIMA|Lima|Chorrillos|942198656
SEGMENTO_004|RUC|2021563134|CLIENT_00471|HABIDO|ACTIVO|PUNO|San Román|Juliaca|915322571
SEGMENTO_004|RUC|2059725559|CLIENT_00880|HABIDO|BAJA DEFINITIVA|LIMA|Lima|San Isidro|937647887
SEGMENTO_004|RUC|2071586209|CLIENT_00004|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|916886124
SEGMENTO_004|RUC|2020228816|CLIENT_00854|HABIDO|ACTIVO|LIMA|Barranca|Barranca|942591439
SEGMENTO_004|RUC|2016725272|CLIENT_00478|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho|925167031
SEGMENTO_002|RUC|2072690831|CLIENT_00802|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|928354642
SEGMENTO_004|RUC|2049766978|CLIENT_00394|HABIDO|ACTIVO|LIMA|Lima|Lima|937849411
SEGMENTO_004|RUC|2096608121|CLIENT_00272|HABIDO|BAJA DE OFICIO|LIMA|Lima|San Juan de Lurigancho|937511131
SEGMENTO_004|RUC|2037039972|CLIENT_00968|HABIDO|ACTIVO|LIMA|Lima|Miraflores|961821330
SEGMENTO_004|RUC|2010231031|CLIENT_00392|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho|925381649
SEGMENTO_004|RUC|2098965055|CLIENT_00623|HABIDO|SUSPENSION TEMPORAL|CALLAO|Prov. Const. del Callao|Bellavista|940822864
SEGMENTO_004|RUC|2058571451|CLIENT_00813|HABIDO|ACTIVO|TACNA|Tacna|Tacna|946957390
SEGMENTO_002|RUC|2020274387|CLIENT_00535|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|929410051
SEGMENTO_004|RUC|2074987251|CLIENT_00276|HABIDO|ACTIVO|LIMA|Lima|Pueblo Libre|946560361
SEGMENTO_004|RUC|2032219870|CLIENT_00462|HABIDO|ACTIVO|LIMA|Lima|Comas|916686850
SEGMENTO_004|RUC|2081561372|CLIENT_00949|HABIDO|ACTIVO|LIMA|Lima|Chorrillos|914965881
SEGMENTO_004|RUC|2092594405|CLIENT_00877|HABIDO|ACTIVO|LIMA|Lima|Barranco|942008771
SEGMENTO_004|RUC|2026562260|CLIENT_00100|HABIDO|ACTIVO|PUNO|San Román|Juliaca|928340712
SEGMENTO_004|RUC|2062666590|CLIENT_00169|HABIDO|ACTIVO|LIMA|Lima|San Martín de Porres|942784834
SEGMENTO_004|RUC|2074271284|CLIENT_00038|HABIDO|ACTIVO|UCAYALI|Coronel Portillo|Calleria|937480292
SEGMENTO_004|RUC|2084074807|CLIENT_00310|HABIDO|BAJA DE OFICIO|JUNIN|Huancayo|Chilca|901657393
SEGMENTO_004|RUC|2076439409|CLIENT_00154|HABIDO|ACTIVO|CALLAO|Prov. Const. del Callao|Callao|961023356
SEGMENTO_004|RUC|2048046441|CLIENT_00064|HABIDO|ACTIVO|PIURA|Piura|Piura|944911382
SEGMENTO_004|RUC|2085352948|CLIENT_00630|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|José Leonardo Ortiz|947485489
SEGMENTO_004|RUC|2013237934|CLIENT_00303|HABIDO|ACTIVO|LIMA|Lima|San Isidro|944177933
SEGMENTO_004|RUC|2087214722|CLIENT_00048|HABIDO|ACTIVO|LIMA|Lima|El Agustino|925594014
SEGMENTO_002|RUC|2012170806|CLIENT_00350|HABIDO|ACTIVO|JUNIN|Huancayo|El Tambo|901350294
SEGMENTO_004|RUC|2049811464|CLIENT_00358|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Trujillo|937850900
SEGMENTO_004|RUC|2026884680|CLIENT_00626|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Victor Larco Herrera|945857929
SEGMENTO_004|RUC|2042893140|CLIENT_00665|HABIDO|ACTIVO|LORETO|Alto Amazonas|Yurimaguas|902635326
SEGMENTO_004|RUC|2073093583|CLIENT_00184|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|901540116
SEGMENTO_004|RUC|2065581182|CLIENT_00019|HABIDO|ACTIVO|LIMA|Lima|Carabayllo|920798031
SEGMENTO_004|RUC|2012453412|CLIENT_00293|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|945929596
SEGMENTO_004|RUC|2084595191|CLIENT_00613|HABIDO|ACTIVO|LIMA|Lima|Carabayllo|940596275
SEGMENTO_004|RUC|2000252800|CLIENT_00467|HABIDO|ACTIVO|CUSCO|Cusco|San Sebastian|901503857
SEGMENTO_004|RUC|2054022480|CLIENT_00547|HABIDO|ACTIVO|LIMA|Lima|Lince|961043942
SEGMENTO_004|RUC|2079684847|CLIENT_00889|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Victor Larco Herrera|931490611
SEGMENTO_002|RUC|2047081406|CLIENT_00312|HABIDO|ACTIVO|ICA|Ica|Ica|917955617
SEGMENTO_004|RUC|2093660214|CLIENT_00375|HABIDO|ACTIVO|LIMA|Lima|Lima|917656645
SEGMENTO_004|RUC|2056897122|CLIENT_00573|HABIDO|ACTIVO|LIMA|Lima|Miraflores|901456108
SEGMENTO_004|RUC|2051775031|CLIENT_00190|HABIDO|ACTIVO|LIMA|Lima|Miraflores|937533245
SEGMENTO_004|RUC|2060519712|CLIENT_00827|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|942644685
SEGMENTO_004|RUC|2094037394|CLIENT_00744|HABIDO|ACTIVO|ICA|Pisco|San Andrés|910205952
SEGMENTO_004|RUC|2090613378|CLIENT_00096|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|930029872
SEGMENTO_004|RUC|2019530122|CLIENT_00047|HABIDO|ACTIVO|LIMA|Lima|San Isidro|961216290
SEGMENTO_004|RUC|2080338247|CLIENT_00934|HABIDO|ACTIVO|LIMA|Lima|Lurigancho|928065647
SEGMENTO_004|RUC|2007494049|CLIENT_00339|HABIDO|ACTIVO|LIMA|Lima|Lima|936830836
SEGMENTO_002|RUC|2068242198|CLIENT_00515|HABIDO|ACTIVO|LIMA|Lima|Lima|942099480
SEGMENTO_004|RUC|2022935188|CLIENT_00157|HABIDO|ACTIVO|UCAYALI|Coronel Portillo|Calleria|942851354
SEGMENTO_004|RUC|2037638826|CLIENT_00969|HABIDO|ACTIVO|AREQUIPA|Arequipa|Sachaca|946390072
SEGMENTO_004|RUC|2088510466|CLIENT_00021|HABIDO|ACTIVO|LIMA|Lima|San Isidro|915944190
SEGMENTO_004|RUC|2034936943|CLIENT_00342|HABIDO|ACTIVO|AREQUIPA|Arequipa|Miraflores|941946330
SEGMENTO_002|RUC|2028234821|CLIENT_00026|HABIDO|ACTIVO|LIMA|Lima|Miraflores|940277774
SEGMENTO_004|RUC|2078998333|CLIENT_00893|HABIDO|SUSPENSION TEMPORAL|CAJAMARCA|Cajamarca|Cajamarca|961222113
SEGMENTO_004|RUC|2073105592|CLIENT_00280|HABIDO|ACTIVO|LIMA|Lima|Surquillo|901176044
